Team,year,avg
Alabama,2012,91.73
Georgia,2012,90.90
LSU,2012,90.25
Auburn,2012,88.78
Florida,2012,92.05
Texas A&M,2012,86.94
Tennessee,2012,89.01
Ole Miss,2012,86.04
South Carolina,2012,86.75
Mississippi State,2012,85.15
Arkansas,2012,85.81
Kentucky,2012,83.48
Missouri,2012,86.00
Vanderbilt,2012,83.90
Alabama,2013,92.20
Georgia,2013,90.07
LSU,2013,90.13
Auburn,2013,89.41
Florida,2013,91.76
Texas A&M,2013,87.61
Tennessee,2013,87.81
Ole Miss,2013,86.63
South Carolina,2013,86.80
Mississippi State,2013,84.96
Arkansas,2013,85.41
Kentucky,2013,84.22
Missouri,2013,85.96
Vanderbilt,2013,84.36
Alabama,2014,93.12
Georgia,2014,90.21
LSU,2014,90.48
Auburn,2014,89.58
Florida,2014,90.66
Texas A&M,2014,88.43
Tennessee,2014,88.07
Ole Miss,2014,86.83
South Carolina,2014,87.99
Mississippi State,2014,85.07
Arkansas,2014,85.81
Kentucky,2014,84.87
Missouri,2014,85.15
Vanderbilt,2014,84.16
Alabama,2015,93.51
Georgia,2015,90.18
LSU,2015,90.40
Auburn,2015,89.72
Florida,2015,89.85
Texas A&M,2015,89.81
Tennessee,2015,88.33
Ole Miss,2015,87.29
South Carolina,2015,88.01
Mississippi State,2015,86.19
Arkansas,2015,86.14
Kentucky,2015,85.13
Missouri,2015,85.69
Vanderbilt,2015,84.72
Alabama,2016,93.29
Georgia,2016,90.00
LSU,2016,90.89
Auburn,2016,89.68
Florida,2016,89.08
Texas A&M,2016,89.48
Tennessee,2016,88.49
Ole Miss,2016,88.75
South Carolina,2016,87.38
Mississippi State,2016,86.46
Arkansas,2016,86.00
Kentucky,2016,85.46
Missouri,2016,85.25
Vanderbilt,2016,84.32
Alabama,2017,93.42
Georgia,2017,90.94
LSU,2017,90.89
Auburn,2017,89.73
Florida,2017,88.68
Texas A&M,2017,89.16
Tennessee,2017,88.84
Ole Miss,2017,88.14
South Carolina,2017,87.17
Mississippi State,2017,86.43
Arkansas,2017,86.27
Kentucky,2017,85.75
Missouri,2017,85.16
Vanderbilt,2017,83.66
Alabama,2018,92.99
Georgia,2018,91.75
LSU,2018,90.61
Auburn,2018,90.09
Florida,2018,88.96
Texas A&M,2018,88.81
Tennessee,2018,88.35
Ole Miss,2018,87.92
South Carolina,2018,87.19
Mississippi State,2018,87.02
Arkansas,2018,86.35
Kentucky,2018,85.57
Missouri,2018,85.34
Vanderbilt,2018,84.37
Alabama,2019,93.16
Georgia,2019,92.47
LSU,2019,90.82
Auburn,2019,90.34
Florida,2019,89.91
Texas A&M,2019,89.26
Tennessee,2019,88.60
Ole Miss,2019,87.68
South Carolina,2019,87.76
Mississippi State,2019,87.18
Arkansas,2019,86.84
Kentucky,2019,85.94
Missouri,2019,85.29
Vanderbilt,2019,84.38
Alabama,2020,93.41
Georgia,2020,93.01
LSU,2020,91.19
Auburn,2020,90.40
Florida,2020,90.41
Texas A&M,2020,89.87
Tennessee,2020,88.80
Ole Miss,2020,86.88
South Carolina,2020,88.41
Mississippi State,2020,87.29
Arkansas,2020,86.86
Kentucky,2020,86.77
Missouri,2020,85.47
Vanderbilt,2020,84.71
